(-0.297355, 0.010634), (-0.168146, 0.013955), (-0.024016, 0.017141), (-0.025660, -0.022774), (0.173405, -0.018936), (0.118021, -0.002126), (-0.037022, -0.006969), (0.017782, -0.009955), (0.206884, 0.015573), (0.233719, 0.004956), (-0.075649, -0.002951), (-0.124908, 0.002894), (0.051609, -0.009263), (0.122465, -0.009268), (-0.071066, 0.001244), (-0.160981, 0.036866), (-0.176229, 0.027507), (-0.039848, 0.011681), (-0.086918, 0.004407), (-0.299894, -0.016831), (-0.168952, -0.014869), (-0.225688, 0.009638), (-0.411168, 0.023857), (-0.477022, 0.006681), (-0.251151, -0.016910), (0.018122, -0.040258), (0.023770, -0.029529), (0.031524, -0.022975), (0.012108, 0.013870), (0.076586, 0.004361), (0.102272, -0.004043), (-0.004125, -0.005704), (0.006486, -0.001041), (0.150380, -0.007169), (0.255126, -0.027165), (0.215216, 0.009349), (0.048441, 0.009772), (0.062600, 0.028347), (0.079682, 0.032861), (0.075145, 0.010610), (0.163134, -0.019879), (0.190092, -0.011591), (0.164336, -0.018827), (0.165021, 0.009048), (0.385962, 0.008961), (0.307139, 0.022689), (0.192935, -0.005103), (0.135269, -0.020166), (0.066467, -0.005821), (-0.129285, 0.005699), (-0.131158, -0.002211), (0.080077, -0.002742), (0.191245, -0.022805), (0.162092, -0.003178), (0.134989, -0.019146), (0.209669, -0.033091), (-0.044143, 0.004755), (-0.140324, 0.026859), (-0.104983, 0.018822), (-0.183485, 0.000413), (-0.117485, 0.016113), (-0.155463, 0.011254), (-0.210936, 0.004744), (-0.286708, 0.007733)
(-0.178655, -0.010634), (-0.349824, -0.013955), (-0.448073, -0.017141), (-0.255290, 0.022774), (-0.087075, 0.018936), (0.003497, 0.002126), (0.074657, 0.006969), (0.049993, 0.009955), (0.064347, -0.015573), (0.079154, -0.004956), (0.036693, 0.002951), (0.055201, -0.002894), (-0.056772, 0.009263), (-0.131033, 0.009268), (-0.117295, -0.001244), (-0.041420, -0.036866), (0.009438, -0.027507), (-0.082829, -0.011681), (-0.101768, -0.004407), (-0.119764, 0.016831), (-0.265275, 0.014869), (-0.167366, -0.009638), (-0.095488, -0.023857), (-0.145428, -0.006681), (-0.163259, 0.016910), (-0.092119, 0.040258), (0.100703, 0.029529), (0.195882, 0.022975), (0.331143, -0.013870), (0.262152, -0.004361), (-0.017008, 0.004043), (0.078615, 0.005704), (0.240053, 0.001041), (0.213745, 0.007169), (0.228105, 0.027165), (0.298916, -0.009349), (0.342555, -0.009772), (0.096235, -0.028347), (-0.050669, -0.032861), (-0.022223, -0.010610), (0.018690, 0.019879), (0.078048, 0.011591), (0.239711, 0.018827), (0.327674, -0.009048), (0.194653, -0.008961), (0.067288, -0.022689), (0.101030, 0.005103), (0.065572, 0.020166), (-0.132355, 0.005821), (-0.103807, -0.005699), (0.006213, 0.002211), (0.043874, 0.002742), (0.081491, 0.022805), (-0.057204, 0.003178), (-0.272932, 0.019146), (-0.312881, 0.033091), (-0.089987, -0.004755), (-0.020290, -0.026859), (0.040477, -0.018822), (0.043861, -0.000413), (0.005596, -0.016113), (0.058299, -0.011254), (-0.052084, -0.004744), (-0.103384, -0.007733)
(-0.137071, 0.010634), (-0.156169, 0.013955), (-0.132855, 0.017141), (-0.164698, -0.022774), (-0.116733, -0.018936), (0.064024, -0.002126), (0.143148, -0.006969), (0.094686, -0.009955), (-0.014496, 0.015573), (0.029153, 0.004956), (0.306475, -0.002951), (0.179369, 0.002894), (0.016115, -0.009263), (-0.035252, -0.009268), (0.040297, 0.001244), (0.059326, 0.036866), (-0.162067, 0.027507), (-0.206065, 0.011681), (-0.230327, 0.004407), (-0.186731, -0.016831), (-0.093268, -0.014869), (-0.116955, 0.009638), (-0.033220, 0.023857), (0.094146, 0.006681), (0.066486, -0.016910), (-0.007678, -0.040258), (-0.123783, -0.029529), (-0.087456, -0.022975), (-0.189006, 0.013870), (-0.152758, 0.004361), (0.042159, -0.004043), (0.053229, -0.005704), (0.019929, -0.001041), (0.149949, -0.007169), (0.232197, -0.027165), (-0.011399, 0.009349), (-0.306646, 0.009772), (-0.235120, 0.028347), (-0.190895, 0.032861), (-0.115333, 0.010610), (0.042768, -0.019879), (0.189717, -0.011591), (0.153537, -0.018827), (0.144482, 0.009048), (-0.052541, 0.008961), (-0.113920, 0.022689), (-0.034698, -0.005103), (-0.004945, -0.020166), (-0.032385, -0.005821), (-0.015441, 0.005699), (0.010159, -0.002211), (0.042851, -0.002742), (0.043169, -0.022805), (0.073352, -0.003178), (0.070873, -0.019146), (0.135419, -0.033091), (0.189834, 0.004755), (0.182433, 0.026859), (0.217008, 0.018822), (0.232490, 0.000413), (0.247643, 0.016113), (0.086493, 0.011254), (-0.070686, 0.004744), (-0.122319, 0.007733)
(-0.018438, -0.010634), (-0.005546, -0.013955), (0.083087, -0.017141), (0.128527, 0.022774), (0.034919, 0.018936), (0.070554, 0.002126), (0.133913, 0.006969), (0.042225, 0.009955), (0.193706, -0.015573), (0.194710, -0.004956), (0.090968, 0.002951), (0.231443, -0.002894), (0.028769, 0.009263), (-0.094819, 0.009268), (-0.239867, -0.001244), (-0.294191, -0.036866), (-0.043094, -0.027507), (-0.053906, -0.011681), (0.034469, -0.004407), (0.056166, 0.016831), (-0.038723, 0.014869), (-0.059423, -0.009638), (-0.165297, -0.023857), (-0.049631, -0.006681), (-0.080094, 0.016910), (-0.091036, 0.040258), (-0.038635, 0.029529), (-0.213782, 0.022975), (-0.154576, -0.013870), (-0.116375, -0.004361), (0.015596, 0.004043), (0.128135, 0.005704), (0.019925, 0.001041), (0.013298, 0.007169), (0.015048, 0.027165), (-0.037013, -0.009349), (-0.181284, -0.009772), (-0.354323, -0.028347), (-0.296134, -0.032861), (-0.122791, -0.010610), (-0.086094, 0.019879), (-0.096563, 0.011591), (-0.038133, 0.018827), (-0.116292, -0.009048), (0.012359, -0.008961), (0.119015, -0.022689), (0.012196, 0.005103), (-0.127017, 0.020166), (0.098107, 0.005821), (0.153553, -0.005699), (0.068326, 0.002211), (0.040723, 0.002742), (0.012273, 0.022805), (0.016499, 0.003178), (0.196847, 0.019146), (0.320091, 0.033091), (0.241573, -0.004755), (0.198928, -0.026859), (0.051101, -0.018822), (0.036315, -0.000413), (-0.009963, -0.016113), (0.070901, -0.011254), (0.049127, -0.004744), (0.009648, -0.007733)
(0.301914, 0.010634), (0.264298, 0.013955), (0.216898, 0.017141), (0.255380, -0.022774), (0.173583, -0.018936), (-0.002748, -0.002126), (0.000004, -0.006969), (0.293112, -0.009955), (0.258449, 0.015573), (0.305657, 0.004956), (0.239963, -0.002951), (0.075839, 0.002894), (0.135171, -0.009263), (0.047791, -0.009268), (-0.034707, 0.001244), (-0.059979, 0.036866), (-0.093651, 0.027507), (0.118633, 0.011681), (0.074190, 0.004407), (0.062666, -0.016831), (0.077827, -0.014869), (0.049309, 0.009638), (0.114289, 0.023857), (0.037165, 0.006681), (-0.009964, -0.016910), (-0.063811, -0.040258), (-0.061718, -0.029529), (0.037084, -0.022975), (0.056930, 0.013870), (0.008514, 0.004361), (-0.038296, -0.004043), (0.091035, -0.005704), (0.324410, -0.001041), (0.009338, -0.007169), (-0.411776, -0.027165), (-0.265699, 0.009349), (-0.193210, 0.009772), (-0.238231, 0.028347), (-0.123027, 0.032861), (-0.341452, 0.010610), (-0.412642, -0.019879), (-0.395660, -0.011591), (-0.299725, -0.018827), (-0.179374, 0.009048), (-0.179350, 0.008961), (-0.085951, 0.022689), (-0.028563, -0.005103), (0.046058, -0.020166), (-0.056456, -0.005821), (-0.159730, 0.005699), (-0.193727, -0.002211), (-0.256255, -0.002742), (-0.170147, -0.022805), (-0.005558, -0.003178), (0.093982, -0.019146), (0.096715, -0.033091), (0.184796, 0.004755), (0.251683, 0.026859), (0.115098, 0.018822), (-0.058188, 0.000413), (-0.062767, 0.016113), (-0.092284, 0.011254), (-0.027101, 0.004744), (0.183963, 0.007733)
(0.061379, -0.010634), (0.223337, -0.013955), (0.286062, -0.017141), (0.031050, 0.022774), (0.030819, 0.018936), (0.223961, 0.002126), (0.206886, 0.006969), (-0.079989, 0.009955), (-0.022514, -0.015573), (-0.005430, -0.004956), (0.114229, 0.002951), (0.048821, -0.002894), (-0.023845, 0.009263), (-0.040689, 0.009268), (-0.027586, -0.001244), (0.041247, -0.036866), (0.171769, -0.027507), (0.074983, -0.011681), (-0.001750, -0.004407), (-0.084344, 0.016831), (-0.010542, 0.014869), (0.260120, -0.009638), (0.268823, -0.023857), (0.227151, -0.006681), (0.199848, 0.016910), (0.082801, 0.040258), (-0.051111, 0.029529), (-0.048224, 0.022975), (-0.155304, -0.013870), (-0.075590, -0.004361), (-0.016519, 0.004043), (-0.092268, 0.005704), (-0.141027, 0.001041), (0.061149, 0.007169), (0.018427, 0.027165), (-0.272347, -0.009349), (-0.377959, -0.009772), (-0.195541, -0.028347), (-0.332099, -0.032861), (-0.248036, -0.010610), (-0.382432, 0.019879), (-0.262180, 0.011591), (-0.233774, 0.018827), (-0.290492, -0.009048), (-0.173550, -0.008961), (-0.156213, -0.022689), (-0.107955, 0.005103), (0.001271, 0.020166), (-0.112903, 0.005821), (-0.150132, -0.005699), (-0.063845, 0.002211), (-0.045653, 0.002742), (-0.057286, 0.022805), (0.089474, 0.003178), (0.160217, 0.019146), (0.063427, 0.033091), (0.041376, -0.004755), (0.052328, -0.026859), (0.200825, -0.018822), (0.212694, -0.000413), (0.192346, -0.016113), (0.176661, -0.011254), (0.332773, -0.004744), (0.182878, -0.007733)
(0.154252, 0.010634), (0.049861, 0.013955), (-0.108779, 0.017141), (0.014458, -0.022774), (0.047057, -0.018936), (-0.024617, -0.002126), (-0.010727, -0.006969), (0.132549, -0.009955), (-0.112269, 0.015573), (-0.213387, 0.004956), (-0.190658, -0.002951), (-0.133037, 0.002894), (-0.001763, -0.009263), (0.062917, -0.009268), (0.169074, 0.001244), (0.094699, 0.036866), (-0.147735, 0.027507), (-0.240540, 0.011681), (0.001012, 0.004407), (0.182041, -0.016831), (0.192953, -0.014869), (0.101048, 0.009638), (0.159979, 0.023857), (0.168210, 0.006681), (0.138837, -0.016910), (0.112125, -0.040258), (-0.012300, -0.029529), (-0.160752, -0.022975), (-0.028201, 0.013870), (0.091489, 0.004361), (-0.025943, -0.004043), (-0.209818, -0.005704), (-0.189691, -0.001041), (-0.167952, -0.007169), (0.119077, -0.027165), (0.000477, 0.009349), (0.070571, 0.009772), (-0.074900, 0.028347), (-0.085432, 0.032861), (-0.131045, 0.010610), (-0.163396, -0.019879), (-0.325396, -0.011591), (-0.257057, -0.018827), (-0.160416, 0.009048), (-0.026522, 0.008961), (-0.066876, 0.022689), (-0.146894, -0.005103), (-0.102550, -0.020166), (0.006896, -0.005821), (0.182458, 0.005699), (0.104981, -0.002211), (0.078932, -0.002742), (0.106649, -0.022805), (0.016126, -0.003178), (0.034966, -0.019146), (0.224573, -0.033091), (0.294258, 0.004755), (0.197938, 0.026859), (0.126722, 0.018822), (0.097570, 0.000413), (-0.078385, 0.016113), (0.005687, 0.011254), (-0.037909, 0.004744), (0.094505, 0.007733)
(0.005350, -0.010634), (-0.035479, -0.013955), (0.094224, -0.017141), (0.050643, 0.022774), (0.071613, 0.018936), (0.065902, 0.002126), (0.004977, 0.006969), (-0.154980, 0.009955), (-0.087159, -0.015573), (-0.018222, -0.004956), (-0.090437, 0.002951), (0.000986, -0.002894), (-0.061281, 0.009263), (-0.089494, 0.009268), (-0.044263, -0.001244), (0.033910, -0.036866), (-0.103381, -0.027507), (-0.208848, -0.011681), (-0.288860, -0.004407), (-0.175918, 0.016831), (-0.163043, 0.014869), (-0.340209, -0.009638), (-0.217382, -0.023857), (-0.153243, -0.006681), (-0.101458, 0.016910), (-0.070771, 0.040258), (-0.027430, 0.029529), (0.083815, 0.022975), (0.146541, -0.013870), (0.030049, -0.004361), (0.141067, 0.004043), (0.220841, 0.005704), (-0.008107, 0.001041), (-0.087561, 0.007169), (-0.070864, 0.027165), (0.262287, -0.009349), (0.333498, -0.009772), (0.423068, -0.028347), (0.226122, -0.032861), (-0.061240, -0.010610), (-0.034213, 0.019879), (-0.058444, 0.011591), (-0.228885, 0.018827), (-0.161595, -0.009048), (-0.115639, -0.008961), (0.047101, -0.022689), (0.190988, 0.005103), (0.080566, 0.020166), (0.236704, 0.005821), (0.109462, -0.005699), (0.198160, 0.002211), (0.099145, 0.002742), (-0.027464, 0.022805), (-0.053545, 0.003178), (-0.179929, 0.019146), (-0.039698, 0.033091), (-0.011829, -0.004755), (-0.050888, -0.026859), (0.024335, -0.018822), (0.086628, -0.000413), (0.110305, -0.016113), (0.011450, -0.011254), (0.149535, -0.004744), (0.082489, -0.007733)
(0.119256, 0.010634), (0.069397, 0.013955), (-0.004988, 0.017141), (0.184785, -0.022774), (0.089983, -0.018936), (-0.027490, -0.002126), (0.083971, -0.006969), (0.308304, -0.009955), (0.242023, 0.015573), (-0.042927, 0.004956), (-0.063902, -0.002951), (-0.152897, 0.002894), (-0.161194, -0.009263), (-0.136084, -0.009268), (-0.099771, 0.001244), (-0.249552, 0.036866), (-0.255769, 0.027507), (-0.111859, 0.011681), (-0.118418, 0.004407), (-0.151403, -0.016831), (-0.153032, -0.014869), (-0.099342, 0.009638), (-0.157832, 0.023857), (-0.124620, 0.006681), (-0.179743, -0.016910), (-0.214743, -0.040258), (-0.008599, -0.029529), (0.081153, -0.022975), (0.067972, 0.013870), (0.116910, 0.004361), (-0.008536, -0.004043), (0.008238, -0.005704), (0.094467, -0.001041), (0.024874, -0.007169), (0.016824, -0.027165), (0.131115, 0.009349), (0.134658, 0.009772), (0.004709, 0.028347), (0.018747, 0.032861), (0.216167, 0.010610), (0.258558, -0.019879), (0.143818, -0.011591), (0.079741, -0.018827), (0.195882, 0.009048), (0.266818, 0.008961), (0.183900, 0.022689), (0.138003, -0.005103), (0.150569, -0.020166), (0.076047, -0.005821), (0.123519, 0.005699), (-0.021876, -0.002211), (-0.016222, -0.002742), (-0.085194, -0.022805), (-0.155960, -0.003178), (-0.009966, -0.019146), (-0.224815, -0.033091), (-0.254661, 0.004755), (-0.079930, 0.026859), (0.011909, 0.018822), (0.012248, 0.000413), (-0.039230, 0.016113), (-0.022845, 0.011254), (-0.146618, 0.004744), (-0.074547, 0.007733)
(-0.066119, -0.010634), (0.006644, -0.013955), (0.152899, -0.017141), (0.075045, 0.022774), (0.174222, 0.018936), (0.197783, 0.002126), (-0.075716, 0.006969), (-0.120730, 0.009955), (0.043364, -0.015573), (0.204642, -0.004957), (-0.009423, 0.002951), (-0.209208, -0.002894), (-0.153492, 0.009263), (-0.004094, 0.009268), (-0.167299, -0.001244), (-0.192220, -0.036866), (-0.031194, -0.027507), (0.026199, -0.011681), (0.146436, -0.004407), (0.103266, 0.016831), (-0.055591, 0.014869), (-0.049413, -0.009638), (-0.110174, -0.023857), (-0.108767, -0.006681), (0.077934, 0.016910), (0.225580, 0.040258), (0.194085, 0.029529), (0.168098, 0.022975), (0.159397, -0.013870), (0.102356, -0.004361), (0.060112, 0.004043), (-0.052762, 0.005704), (-0.110908, 0.001041), (-0.057988, 0.007169), (-0.255887, 0.027165), (-0.485602, -0.009349), (-0.413596, -0.009772), (-0.329403, -0.028347), (-0.085235, -0.032861), (-0.110283, -0.010610), (-0.095542, 0.019879), (0.046013, 0.011591), (0.293991, 0.018827), (0.263388, -0.009048), (0.033516, -0.008961), (0.012494, -0.022689), (-0.011840, 0.005103), (0.025463, 0.020166), (-0.071812, 0.005821), (-0.033950, -0.005699), (0.038506, 0.002211), (0.093013, 0.002743), (0.169402, 0.022805), (0.196782, 0.003178), (0.086229, 0.019146), (-0.031278, 0.033091), (-0.220689, -0.004755), (-0.132828, -0.026859), (-0.105184, -0.018822), (-0.048711, -0.000413), (0.081290, -0.016113), (0.206874, -0.011254), (0.232484, -0.004744), (0.109426, -0.007733)
