(0.136579, 0.002235), (0.059152, -0.002235), (-0.003827, 0.002235), (-0.108479, -0.002235), (-0.101391, 0.002235), (-0.107559, -0.002235), (0.025879, 0.002235), (0.045569, -0.002235), (-0.192842, 0.002235), (-0.030142, -0.002235), (-0.035100, 0.002235), (0.103137, -0.002235), (0.162038, 0.002235), (0.097547, -0.002235), (0.026608, 0.002235), (-0.069810, -0.002235), (0.033081, 0.002235), (0.047220, -0.002235), (0.005999, 0.002235), (0.152809, -0.002235), (0.018965, 0.002235), (0.042895, -0.002235), (0.046300, 0.002235), (-0.012384, -0.002235), (0.085517, 0.002235), (-0.034977, -0.002235), (0.056526, 0.002235), (0.048414, -0.002235), (0.020142, 0.002235), (0.155435, -0.002235), (0.032750, 0.002235), (-0.157428, -0.002235), (-0.020385, 0.002235), (-0.071786, -0.002235), (0.084884, 0.002235), (0.156816, -0.002235), (0.223776, 0.002235), (0.137972, -0.002235), (-0.014544, 0.002235), (-0.177462, -0.002235), (-0.167605, 0.002235), (-0.216219, -0.002235), (-0.161660, 0.002235), (-0.088955, -0.002235), (-0.006968, 0.002235), (-0.019967, -0.002235), (-0.065340, 0.002235), (0.125035, -0.002235), (0.111498, 0.002235), (-0.020057, -0.002235), (-0.088058, 0.002235), (-0.066955, -0.002235), (-0.044278, 0.002235), (0.052829, -0.002235), (-0.170498, 0.002235), (-0.231266, -0.002235), (-0.061597, 0.002235), (-0.031149, -0.002235), (-0.007489, 0.002235), (0.078203, -0.002235), (-0.061547, 0.002235), (0.076014, -0.002235), (0.132585, 0.002235), (0.065548, -0.002235)
(0.100370, 0.007435), (0.117026, -0.007435), (-0.017132, 0.007435), (0.103314, -0.007435), (0.042123, 0.007435), (-0.142539, -0.007435), (-0.005672, 0.007435), (0.029367, -0.007435), (0.046104, 0.007435), (-0.237114, -0.007435), (-0.187876, 0.007435), (0.188599, -0.007435), (0.197685, 0.007435), (0.033334, -0.007435), (-0.103055, 0.007435), (0.051782, -0.007435), (0.072791, 0.007435), (0.043628, -0.007435), (-0.096370, 0.007435), (-0.003105, -0.007435), (0.092881, 0.007435), (-0.034287, -0.007435), (-0.092511, 0.007435), (0.057302, -0.007435), (0.265161, 0.007435), (0.191388, -0.007435), (0.108926, 0.007435), (0.089715, -0.007435), (0.095197, 0.007435), (0.032850, -0.007435), (-0.063281, 0.007435), (-0.060052, -0.007435), (-0.012724, 0.007435), (0.106894, -0.007435), (0.090142, 0.007435), (0.176693, -0.007435), (0.111359, 0.007435), (-0.015070, -0.007435), (-0.069868, 0.007435), (-0.068863, -0.007435), (-0.138980, 0.007435), (-0.154629, -0.007435), (-0.144905, 0.007435), (-0.006008, -0.007435), (0.009871, 0.007435), (-0.144618, -0.007435), (-0.064232, 0.007435), (-0.042712, -0.007435), (-0.023792, 0.007435), (-0.071553, -0.007435), (0.081127, 0.007435), (0.060536, -0.007435), (-0.035942, 0.007435), (-0.154554, -0.007435), (-0.124775, 0.007435), (-0.226451, -0.007435), (-0.167312, 0.007435), (0.013016, -0.007435), (0.001963, 0.007435), (0.082655, -0.007435), (0.035154, 0.007435), (0.015269, -0.007435), (-0.002426, 0.007435), (-0.031812, -0.007435)
(0.004805, -0.000937), (-0.077532, 0.000937), (0.058309, -0.000937), (0.207341, 0.000937), (0.153444, -0.000937), (-0.017247, 0.000937), (0.048938, -0.000937), (0.009642, 0.000937), (-0.089459, -0.000937), (-0.057733, 0.000937), (-0.089269, -0.000937), (0.000870, 0.000937), (0.071177, -0.000937), (0.022833, 0.000937), (0.067068, -0.000937), (-0.040187, 0.000937), (-0.064324, -0.000937), (0.006522, 0.000937), (-0.078533, -0.000937), (0.042515, 0.000937), (0.029677, -0.000937), (0.138361, 0.000937), (0.012301, -0.000937), (-0.015140, 0.000937), (0.211706, -0.000937), (0.157126, 0.000937), (0.221023, -0.000937), (0.168986, 0.000937), (0.090655, -0.000937), (-0.038329, 0.000937), (-0.119835, -0.000937), (0.088123, 0.000937), (0.073620, -0.000937), (0.054118, 0.000937), (0.120504, -0.000937), (0.066298, 0.000937), (0.016791, -0.000937), (-0.104784, 0.000937), (-0.059223, -0.000937), (-0.045481, 0.000937), (-0.008317, -0.000937), (-0.088365, 0.000937), (0.012108, -0.000937), (-0.087894, 0.000937), (-0.265794, -0.000937), (-0.123282, 0.000937), (0.022349, -0.000937), (-0.108525, 0.000937), (-0.127989, -0.000937), (0.085827, 0.000937), (0.061721, -0.000937), (0.103363, 0.000937), (-0.065296, -0.000937), (-0.235302, 0.000937), (-0.340553, -0.000937), (-0.034395, 0.000937), (0.024167, -0.000937), (0.029754, 0.000937), (0.072579, -0.000937), (-0.000207, 0.000937), (0.010763, -0.000937), (-0.113915, 0.000937), (-0.075116, -0.000937), (0.006641, 0.000937)
(-0.017940, -0.002175), (0.074907, 0.002175), (0.056108, -0.002175), (0.149901, 0.002175), (0.216889, -0.002175), (0.181478, 0.002175), (-0.061777, -0.002175), (-0.085524, 0.002175), (0.021634, -0.002175), (-0.039708, 0.002175), (0.034293, -0.002175), (-0.145399, 0.002175), (-0.069618, -0.002175), (-0.010838, 0.002175), (-0.000631, -0.002175), (-0.012733, 0.002175), (-0.064186, -0.002175), (-0.037356, 0.002175), (-0.013966, -0.002175), (0.008125, 0.002175), (0.103138, -0.002175), (-0.016703, 0.002175), (0.109757, -0.002175), (0.127857, 0.002175), (0.151402, -0.002175), (0.149565, 0.002175), (0.097700, -0.002175), (0.080241, 0.002175), (0.063044, -0.002175), (0.139559, 0.002175), (0.127848, -0.002175), (-0.074782, 0.002175), (0.026645, -0.002175), (0.316511, 0.002175), (0.031050, -0.002175), (-0.284888, 0.002175), (-0.117294, -0.002175), (-0.053550, 0.002175), (0.027622, -0.002175), (0.160356, 0.002175), (0.083906, -0.002175), (-0.021046, 0.002175), (-0.119356, -0.002175), (-0.135938, 0.002175), (-0.251192, -0.002175), (-0.064656, 0.002175), (-0.064801, -0.002175), (-0.088615, 0.002175), (0.011715, -0.002175), (0.007015, 0.002175), (0.108499, -0.002175), (0.084902, 0.002175), (-0.066247, -0.002175), (-0.179433, 0.002175), (-0.117020, -0.002175), (-0.053647, 0.002175), (-0.104375, -0.002175), (0.003090, 0.002175), (0.033251, -0.002175), (0.089708, 0.002175), (-0.030473, -0.002175), (-0.186418, 0.002175), (-0.205625, -0.002175), (-0.081984, 0.002175)
(-0.017734, -0.005309), (-0.040551, 0.005309), (0.182830, -0.005309), (0.152265, 0.005309), (0.040289, -0.005309), (0.118813, 0.005309), (0.097508, -0.005309), (0.057878, 0.005309), (0.037626, -0.005309), (-0.120789, 0.005309), (-0.036493, -0.005309), (-0.098568, 0.005309), (-0.248585, -0.005309), (-0.099247, 0.005309), (-0.148031, -0.005309), (0.064059, 0.005309), (0.078379, -0.005309), (0.055397, 0.005309), (0.021890, -0.005309), (0.009698, 0.005309), (-0.017731, -0.005309), (0.025964, 0.005309), (0.071003, -0.005309), (0.118063, 0.005309), (0.019636, -0.005309), (0.235148, 0.005309), (0.081723, -0.005309), (0.108363, 0.005309), (0.138327, -0.005309), (0.068513, 0.005309), (0.176385, -0.005309), (0.135958, 0.005309), (-0.009510, -0.005309), (-0.069957, 0.005309), (0.003542, -0.005309), (-0.075144, 0.005309), (-0.329048, -0.005309), (-0.074419, 0.005309), (0.122433, -0.005309), (0.068213, 0.005309), (0.039658, -0.005309), (-0.008597, 0.005309), (0.038991, -0.005309), (-0.124184, 0.005309), (-0.096296, -0.005309), (-0.064244, 0.005309), (-0.167325, -0.005309), (-0.050056, 0.005309), (0.109519, -0.005309), (-0.061398, 0.005309), (0.010757, -0.005309), (0.059275, 0.005309), (-0.000745, -0.005309), (-0.096763, 0.005309), (0.006425, -0.005309), (-0.046706, 0.005309), (0.034217, -0.005309), (-0.137533, 0.005309), (-0.114360, -0.005309), (-0.053151, 0.005309), (0.004320, -0.005309), (-0.148207, 0.005309), (-0.129598, -0.005309), (0.091907, 0.005309)
(0.036023, -0.005644), (0.090395, 0.005644), (0.074584, -0.005644), (0.023023, 0.005644), (0.093213, -0.005644), (0.099177, 0.005644), (0.071946, -0.005644), (0.041322, 0.005644), (0.087178, -0.005644), (-0.011215, 0.005644), (-0.146022, -0.005644), (-0.232464, 0.005644), (-0.155607, -0.005644), (-0.229989, 0.005644), (-0.083198, -0.005644), (0.036170, 0.005644), (0.190375, -0.005644), (0.029273, 0.005644), (-0.115984, -0.005644), (-0.002219, 0.005644), (0.129074, -0.005644), (0.086659, 0.005644), (0.065710, -0.005644), (0.065052, 0.005644), (0.044593, -0.005644), (0.060922, 0.005644), (0.139910, -0.005644), (0.110068, 0.005644), (0.054933, -0.005644), (0.120355, 0.005644), (0.220268, -0.005644), (0.177219, 0.005644), (0.072112, -0.005644), (-0.287226, 0.005644), (-0.229293, -0.005644), (-0.123505, 0.005644), (-0.265630, -0.005644), (0.047389, 0.005644), (0.008513, -0.005644), (-0.051956, 0.005644), (0.057732, -0.005644), (0.129139, 0.005644), (0.008063, -0.005644), (-0.085280, 0.005644), (-0.075576, -0.005644), (0.047884, 0.005644), (-0.026995, -0.005644), (-0.040306, 0.005644), (-0.161664, -0.005644), (-0.031560, 0.005644), (0.036085, -0.005644), (0.049935, 0.005644), (0.123853, -0.005644), (0.122418, 0.005644), (-0.024773, -0.005644), (-0.070381, 0.005644), (0.016184, -0.005644), (-0.024449, 0.005644), (-0.217024, -0.005644), (-0.013931, 0.005644), (-0.037242, -0.005644), (-0.133791, 0.005644), (0.008660, -0.005644), (0.001873, 0.005644)
(0.041013, -0.003493), (0.086530, 0.003493), (-0.023750, -0.003493), (-0.001238, 0.003493), (0.121746, -0.003493), (0.221168, 0.003493), (-0.023302, -0.003493), (-0.019859, 0.003493), (-0.061765, -0.003493), (0.014564, 0.003493), (-0.039131, -0.003493), (-0.226428, 0.003493), (-0.186161, -0.003493), (-0.156050, 0.003493), (-0.058556, -0.003493), (0.056032, 0.003493), (0.093360, -0.003493), (-0.022141, 0.003493), (0.055988, -0.003493), (-0.043003, 0.003493), (0.270316, -0.003493), (0.202135, 0.003493), (0.046880, -0.003493), (0.002518, 0.003493), (-0.035757, -0.003493), (-0.065775, 0.003493), (0.023901, -0.003493), (0.043495, 0.003493), (0.160981, -0.003493), (0.207160, 0.003493), (0.034889, -0.003493), (0.098819, 0.003493), (0.137874, -0.003493), (-0.039349, 0.003493), (-0.255128, -0.003493), (-0.397019, 0.003493), (-0.146054, -0.003493), (-0.111728, 0.003493), (0.078137, -0.003493), (-0.031146, 0.003493), (-0.115115, -0.003493), (0.208069, 0.003493), (0.019558, -0.003493), (0.027701, 0.003493), (0.054698, -0.003493), (-0.118235, 0.003493), (0.030009, -0.003493), (-0.009920, 0.003493), (-0.083558, -0.003493), (0.063105, 0.003493), (-0.030237, -0.003493), (0.098811, 0.003493), (0.079400, -0.003493), (0.188672, 0.003493), (-0.036128, -0.003493), (-0.005022, 0.003493), (0.023912, -0.003493), (-0.060660, 0.003493), (-0.097704, -0.003493), (-0.173107, 0.003493), (-0.079868, -0.003493), (-0.019951, 0.003493), (-0.000447, -0.003493), (-0.018149, 0.003493)
(-0.033736, 0.009866), (0.015004, -0.009866), (0.005601, 0.009866), (0.083826, -0.009866), (0.133770, 0.009866), (0.087594, -0.009866), (0.038974, 0.009866), (-0.099054, -0.009866), (-0.127191, 0.009866), (0.043321, -0.009866), (-0.120596, 0.009866), (-0.080985, -0.009866), (-0.142374, 0.009866), (-0.077425, -0.009866), (-0.002514, 0.009866), (-0.087342, -0.009866), (-0.192593, 0.009866), (0.078384, -0.009866), (0.163787, 0.009866), (0.165825, -0.009866), (0.035922, 0.009866), (0.134071, -0.009866), (0.172229, 0.009866), (0.047986, -0.009866), (0.018348, 0.009866), (-0.051056, -0.009866), (-0.113230, 0.009866), (0.150360, -0.009866), (0.219549, 0.009866), (0.197646, -0.009866), (0.010266, 0.009866), (0.015973, -0.009866), (-0.020810, 0.009866), (0.078750, -0.009866), (-0.137659, 0.009866), (-0.258621, -0.009866), (-0.133970, 0.009866), (-0.139856, -0.009866), (-0.126368, 0.009866), (-0.173249, -0.009866), (-0.043959, 0.009866), (0.028466, -0.009866), (0.108269, 0.009866), (0.064190, -0.009866), (0.124361, 0.009866), (-0.028967, -0.009866), (0.030597, 0.009866), (0.017474, -0.009866), (0.068568, 0.009866), (-0.005389, -0.009866), (0.018069, 0.009866), (-0.041653, -0.009866), (0.137802, 0.009866), (-0.000707, -0.009866), (0.143475, 0.009866), (0.153218, -0.009866), (-0.052740, 0.009866), (-0.142203, -0.009866), (-0.101379, 0.009866), (-0.183365, -0.009866), (-0.140408, 0.009866), (-0.003070, -0.009866), (0.059941, 0.009866), (0.010854, -0.009866)
(0.001900, 0.006493), (-0.028237, -0.006493), (0.117575, 0.006493), (0.035909, -0.006493), (0.055817, 0.006493), (0.123684, -0.006493), (0.043858, 0.006493), (-0.098543, -0.006493), (-0.115184, 0.006493), (-0.133476, -0.006493), (0.012306, 0.006493), (-0.154457, -0.006493), (-0.243960, 0.006493), (-0.088273, -0.006493), (0.076732, 0.006493), (-0.149251, -0.006493), (-0.156083, 0.006493), (-0.023822, -0.006493), (0.116829, 0.006493), (0.228178, -0.006493), (0.016246, 0.006493), (0.163009, -0.006493), (0.244451, 0.006493), (0.020731, -0.006493), (-0.031132, 0.006493), (-0.023699, -0.006493), (0.136043, 0.006493), (0.176767, -0.006493), (0.208163, 0.006493), (0.105880, -0.006493), (0.162514, 0.006493), (-0.027787, -0.006493), (-0.081164, 0.006493), (-0.077888, -0.006493), (0.109729, 0.006493), (-0.065586, -0.006493), (-0.169471, 0.006493), (-0.170106, -0.006493), (-0.312866, 0.006493), (-0.095881, -0.006493), (-0.110819, 0.006493), (-0.089144, -0.006493), (-0.007809, 0.006493), (0.312942, -0.006493), (0.099953, 0.006493), (0.134159, -0.006493), (-0.089357, 0.006493), (0.069270, -0.006493), (0.051098, 0.006493), (-0.043800, -0.006493), (-0.008516, 0.006493), (-0.141424, -0.006493), (-0.001943, 0.006493), (0.026929, -0.006493), (0.033800, 0.006493), (0.172907, -0.006493), (-0.011661, 0.006493), (-0.022629, -0.006493), (0.006576, 0.006493), (-0.176205, -0.006493), (-0.214107, 0.006493), (0.006413, -0.006493), (0.060484, 0.006493), (0.033431, -0.006493)
(0.011121, 0.000417), (-0.051436, -0.000417), (0.184852, 0.000417), (0.158744, -0.000417), (0.000886, 0.000417), (0.001899, -0.000417), (0.103325, 0.000417), (0.091940, -0.000417), (-0.279748, 0.000417), (-0.176091, -0.000417), (-0.262908, 0.000417), (-0.219492, -0.000417), (-0.056429, 0.000417), (-0.021432, -0.000417), (-0.099495, 0.000417), (-0.226344, -0.000417), (-0.023509, 0.000417), (0.141386, -0.000417), (0.155073, 0.000417), (0.099555, -0.000417), (-0.002519, 0.000417), (0.102534, -0.000417), (0.163981, 0.000417), (0.159685, -0.000417), (-0.005316, 0.000417), (0.108047, -0.000417), (0.163083, 0.000417), (0.177132, -0.000417), (0.259719, 0.000417), (0.087617, -0.000417), (-0.039054, 0.000417), (0.019987, -0.000417), (-0.061186, 0.000417), (-0.057159, -0.000417), (-0.110154, 0.000417), (-0.038985, -0.000417), (-0.214433, 0.000417), (-0.163905, -0.000417), (-0.039173, 0.000417), (-0.079017, -0.000417), (-0.024560, 0.000417), (-0.100876, -0.000417), (0.207032, 0.000417), (0.149789, -0.000417), (0.056188, 0.000417), (-0.035355, -0.000417), (0.049090, 0.000417), (-0.046476, -0.000417), (0.051528, 0.000417), (-0.042391, -0.000417), (-0.076334, 0.000417), (-0.034864, -0.000417), (-0.055379, 0.000417), (0.102460, -0.000417), (0.063976, 0.000417), (-0.169940, -0.000417), (0.081210, 0.000417), (0.112935, -0.000417), (-0.030441, 0.000417), (-0.154978, -0.000417), (-0.128083, 0.000417), (-0.001816, -0.000417), (-0.042343, 0.000417), (0.106846, -0.000417)
