(-0.135413, 0.000000), (-0.244243, -0.011999), (-0.292420, -0.028801), (-0.254921, -0.037814), (-0.148430, -0.029525), (-0.057224, -0.014334), (-0.027374, -0.008304), (-0.107726, -0.038545), (-0.053747, -0.022263), (-0.005111, -0.002418), (0.020487, 0.010950), (0.043935, 0.026334), (-0.064230, -0.042917), (-0.129905, -0.096344), (-0.095224, -0.078148), (-0.013034, -0.011813), (0.026599, 0.026599), (0.072695, 0.080206), (0.155125, 0.189021), (0.156172, 0.210573), (0.150761, 0.225630), (0.109705, 0.183032), (0.056895, 0.106443), (0.063902, 0.135110), (0.020754, 0.050106), (0.004145, 0.011583), (0.019004, 0.062648), (-0.015185, -0.060623), (-0.017007, -0.085498), (-0.001499, -0.010106), (-0.004599, -0.046696), (-0.006730, -0.136986), (0.000000, -0.042461), (-0.001032, 0.021009), (0.006569, -0.066695), (0.017771, -0.119799), (-0.001325, 0.006663), (-0.022654, 0.090440), (-0.025483, 0.084007), (-0.043158, 0.120619), (-0.008157, 0.019694), (0.049213, -0.104051), (0.076979, -0.144018), (0.085931, -0.143367), (0.084785, -0.126890), (0.069951, -0.094317), (0.090459, -0.110225), (0.126369, -0.139426), (0.058183, -0.058183), (-0.003272, 0.002966), (0.056654, -0.046495), (0.076095, -0.056436), (0.081825, -0.054674), (0.015253, -0.009142), (-0.028385, 0.015172), (0.133052, -0.062929), (0.283942, -0.117613), (0.324793, -0.116213), (0.351418, -0.106602), (0.282078, -0.070657), (0.249126, -0.049554), (0.230679, -0.034218), (0.075533, -0.007439), (-0.023233, 0.001141)
(0.155670, 0.007648), (0.015249, 0.001502), (-0.034304, -0.005089), (-0.050440, -0.010033), (-0.164820, -0.041285), (-0.123813, -0.037558), (-0.099902, -0.035745), (-0.159229, -0.065955), (-0.221831, -0.104918), (-0.107764, -0.057601), (0.148510, 0.089014), (0.105413, 0.070434), (-0.028708, -0.021291), (-0.103879, -0.085252), (-0.082193, -0.074496), (-0.037422, -0.037422), (-0.083156, -0.091748), (-0.083943, -0.102285), (0.018877, 0.025453), (0.124812, 0.186794), (0.141598, 0.236242), (0.138807, 0.259690), (0.143969, 0.304398), (0.124399, 0.300326), (0.073777, 0.206192), (0.037257, 0.122819), (0.022998, 0.091814), (0.011240, 0.056505), (0.006449, 0.043473), (-0.002579, -0.026188), (-0.013297, -0.270664), (-0.000000, -0.279726), (0.008860, -0.180341), (0.010776, -0.109410), (-0.000356, 0.002399), (-0.003085, 0.015511), (-0.048014, 0.191682), (-0.099006, 0.326380), (-0.130242, 0.364002), (-0.112486, 0.271566), (-0.056161, 0.118743), (0.006256, -0.011705), (0.023403, -0.039045), (0.030498, -0.045644), (0.000123, -0.000166), (-0.005206, 0.006344), (0.039897, -0.044020), (0.100781, -0.100781), (0.122996, -0.111477), (0.156888, -0.128754), (0.091539, -0.067890), (0.001432, -0.000957), (-0.036747, 0.022025), (0.015667, -0.008374), (0.107723, -0.050949), (0.211747, -0.087709), (0.347821, -0.124452), (0.402881, -0.122213), (0.382800, -0.095886), (0.329879, -0.065617), (0.251168, -0.037257), (0.221466, -0.021813), (0.178092, -0.008749), (0.196948, -0.000000)
(0.215805, 0.021255), (0.264741, 0.039271), (0.280514, 0.055798), (0.128896, 0.032287), (-0.069578, -0.021106), (-0.145626, -0.052106), (-0.199663, -0.082703), (-0.311736, -0.147440), (-0.287321, -0.153576), (-0.217949, -0.130634), (-0.139441, -0.093172), (-0.108393, -0.080390), (-0.138162, -0.113386), (-0.177040, -0.160459), (-0.199856, -0.199856), (-0.153592, -0.169463), (-0.089620, -0.109202), (-0.093723, -0.126371), (-0.038022, -0.056903), (0.033812, 0.056412), (0.096320, 0.180203), (0.133450, 0.282156), (0.124066, 0.299522), (0.105623, 0.295196), (0.055880, 0.184212), (0.022818, 0.091093), (0.004657, 0.023413), (0.019792, 0.133424), (0.016834, 0.170917), (0.000231, 0.004706), (0.000000, -0.068818), (0.008225, -0.167424), (0.018775, -0.190623), (0.017171, -0.115756), (-0.008852, 0.044500), (-0.037417, 0.149378), (-0.071671, 0.236267), (-0.130890, 0.365813), (-0.211794, 0.511317), (-0.196245, 0.414926), (-0.188433, 0.352534), (-0.181392, 0.302634), (-0.117011, 0.175120), (-0.172069, 0.232008), (-0.148059, 0.180411), (0.000955, -0.001053), (0.048467, -0.048467), (0.036696, -0.033260), (0.172448, -0.141524), (0.183037, -0.135749), (0.078186, -0.052242), (-0.030207, 0.018105), (-0.061419, 0.032829), (0.030929, -0.014628), (0.233664, -0.096787), (0.373577, -0.133668), (0.302247, -0.091686), (0.249692, -0.062545), (0.151297, -0.030095), (0.126827, -0.018813), (0.111853, -0.011017), (0.154014, -0.007566), (0.237094, -0.000000), (0.247557, 0.012162)
(0.384275, 0.057002), (0.339277, 0.067486), (0.267893, 0.067104), (0.200182, 0.060724), (0.018279, 0.006540), (-0.181476, -0.075170), (-0.282705, -0.133710), (-0.281862, -0.150659), (-0.319397, -0.191439), (-0.322330, -0.215374), (-0.334309, -0.247940), (-0.258617, -0.212241), (-0.166752, -0.151135), (-0.130341, -0.130341), (-0.102530, -0.113125), (-0.072851, -0.088769), (0.010789, 0.014547), (0.028719, 0.042981), (0.047653, 0.079504), (0.106031, 0.198371), (0.103880, 0.219636), (0.120791, 0.291615), (0.116352, 0.325183), (0.074341, 0.245071), (0.022092, 0.088195), (-0.005674, -0.028523), (-0.007501, -0.050569), (0.002557, 0.025966), (0.003403, 0.069279), (-0.000000, 0.012114), (-0.000422, 0.008583), (0.004485, -0.045539), (0.024578, -0.165690), (0.019051, -0.095778), (-0.014009, 0.055926), (-0.087108, 0.287158), (-0.111774, 0.312387), (-0.162705, 0.392804), (-0.173950, 0.367786), (-0.241510, 0.451833), (-0.287988, 0.480479), (-0.317410, 0.475037), (-0.308447, 0.415892), (-0.226761, 0.276309), (-0.107794, 0.118932), (0.014299, -0.014299), (0.044124, -0.039992), (0.100000, -0.082068), (0.158037, -0.117208), (0.160755, -0.107413), (0.092413, -0.055390), (-0.043349, 0.023171), (-0.097143, 0.045945), (-0.036852, 0.015265), (0.044094, -0.015777), (0.035227, -0.010686), (0.082554, -0.020679), (0.095172, -0.018931), (0.067616, -0.010030), (0.006292, -0.000620), (-0.042356, 0.002081), (0.054699, 0.000000), (0.231398, 0.011368), (0.345778, 0.034056)
(0.163014, 0.032425), (0.169859, 0.042548), (0.137786, 0.041797), (0.018190, 0.006508), (-0.046552, -0.019283), (-0.167589, -0.079264), (-0.306446, -0.163799), (-0.339736, -0.203630), (-0.406613, -0.271690), (-0.455081, -0.337511), (-0.422905, -0.347069), (-0.367795, -0.333350), (-0.197885, -0.197885), (-0.064700, -0.071386), (0.031970, 0.038955), (0.029738, 0.040098), (0.012214, 0.018279), (-0.011335, -0.018911), (-0.018398, -0.034421), (0.034040, 0.071972), (0.086264, 0.208259), (0.095072, 0.265709), (0.083646, 0.275742), (0.078722, 0.314278), (0.069920, 0.351514), (0.032265, 0.217511), (0.016842, 0.170996), (0.006831, 0.139046), (0.000000, 0.159989), (-0.011592, 0.235965), (-0.019601, 0.199016), (-0.018220, 0.122832), (-0.020027, 0.100684), (-0.016568, 0.066144), (-0.033241, 0.109582), (-0.074182, 0.207325), (-0.090159, 0.217664), (-0.078909, 0.166839), (-0.078130, 0.146172), (-0.162112, 0.270467), (-0.245867, 0.367967), (-0.269081, 0.362814), (-0.259225, 0.315867), (-0.233008, 0.257085), (-0.120041, 0.120041), (-0.109172, 0.098948), (-0.049508, 0.040631), (0.042331, -0.031395), (0.002548, -0.001702), (0.015629, -0.009368), (0.045116, -0.024115), (0.011307, -0.005348), (-0.055929, 0.023166), (-0.066837, 0.023915), (-0.063192, 0.019169), (-0.067160, 0.016823), (-0.093764, 0.018651), (-0.087955, 0.013047), (0.073390, -0.007228), (0.131786, -0.006474), (0.143167, 0.000000), (0.163731, 0.008044), (0.305855, 0.030124), (0.250387, 0.037141)
(0.007570, 0.001896), (-0.079298, -0.024055), (-0.140507, -0.050274), (-0.132602, -0.054925), (-0.195240, -0.092342), (-0.286883, -0.153342), (-0.346928, -0.207941), (-0.411579, -0.275008), (-0.495286, -0.367329), (-0.575543, -0.472336), (-0.531345, -0.481583), (-0.402412, -0.402412), (-0.267177, -0.294785), (-0.183695, -0.223833), (-0.096907, -0.130664), (-0.034456, -0.051567), (-0.101935, -0.170069), (-0.112999, -0.211406), (-0.026418, -0.055856), (0.052981, 0.127908), (0.076332, 0.213334), (0.070054, 0.230938), (0.066103, 0.263897), (0.044947, 0.225963), (0.050751, 0.342134), (0.044765, 0.454512), (0.015667, 0.318913), (0.000000, 0.219239), (-0.009935, 0.202222), (-0.020753, 0.210708), (-0.027850, 0.187747), (-0.034486, 0.173371), (-0.037101, 0.148115), (-0.041647, 0.137293), (-0.011396, 0.031849), (0.030038, -0.072518), (0.052290, -0.110558), (0.060725, -0.113609), (0.004852, -0.008096), (0.010665, -0.015962), (-0.045831, 0.061796), (-0.142655, 0.173825), (-0.164441, 0.181433), (-0.109631, 0.109631), (-0.095290, 0.086365), (-0.089719, 0.073631), (-0.093368, 0.069246), (-0.096515, 0.064489), (0.028425, -0.017037), (0.167153, -0.089345), (0.155973, -0.073770), (0.110232, -0.045660), (0.016386, -0.005863), (-0.110981, 0.033666), (-0.183445, 0.045951), (-0.135707, 0.026994), (-0.125861, 0.018670), (-0.145615, 0.014342), (-0.017407, 0.000855), (0.093351, 0.000000), (0.046816, 0.002300), (0.127036, 0.012512), (0.123709, 0.018351), (0.062608, 0.012453)
(-0.079555, -0.024133), (-0.159953, -0.057232), (-0.183035, -0.075816), (-0.189027, -0.089403), (-0.193795, -0.103586), (-0.281528, -0.168741), (-0.345060, -0.230562), (-0.376221, -0.279025), (-0.388460, -0.318801), (-0.338478, -0.306779), (-0.386306, -0.386306), (-0.362676, -0.400152), (-0.319318, -0.389091), (-0.216257, -0.291589), (-0.113968, -0.170565), (-0.110995, -0.185184), (-0.119364, -0.223315), (-0.048082, -0.101662), (-0.026529, -0.064046), (0.003690, 0.010314), (0.042149, 0.138948), (0.039153, 0.156309), (0.042538, 0.213853), (0.032214, 0.217167), (0.020232, 0.205416), (0.010771, 0.219243), (0.000000, 0.143724), (-0.006410, 0.130488), (-0.010653, 0.108159), (-0.025177, 0.169733), (-0.038915, 0.195638), (-0.030997, 0.123747), (-0.038814, 0.127954), (-0.016429, 0.045917), (0.068189, -0.164624), (0.151242, -0.319775), (0.175064, -0.327521), (0.182630, -0.304699), (0.151316, -0.226461), (0.073456, -0.099044), (0.139704, -0.170230), (0.117077, -0.129175), (0.052226, -0.052226), (0.086394, -0.078303), (0.041246, -0.033850), (0.030896, -0.022914), (0.061548, -0.041125), (0.057947, -0.034732), (0.123711, -0.066125), (0.110344, -0.052189), (0.091549, -0.037921), (0.049112, -0.017573), (-0.024341, 0.007384), (-0.155766, 0.039017), (-0.225337, 0.044822), (-0.186423, 0.027653), (-0.235750, 0.023219), (-0.218874, 0.010753), (-0.167275, 0.000000), (-0.054249, -0.002665), (0.028292, 0.002787), (0.016026, 0.002377), (0.006406, 0.001274), (-0.039748, -0.009956)
(-0.034975, -0.012514), (-0.049650, -0.020565), (-0.118560, -0.056075), (-0.120297, -0.064300), (-0.203342, -0.121879), (-0.277809, -0.185626), (-0.314419, -0.233189), (-0.352142, -0.288996), (-0.278052, -0.252012), (-0.253788, -0.253788), (-0.234418, -0.258640), (-0.236830, -0.288578), (-0.237698, -0.320499), (-0.187379, -0.280433), (-0.157625, -0.262981), (-0.067543, -0.126365), (-0.005776, -0.012212), (-0.018568, -0.044828), (-0.053053, -0.148274), (-0.080392, -0.265017), (-0.070456, -0.281276), (-0.024476, -0.123049), (0.005956, 0.040153), (0.015417, 0.156535), (0.004502, 0.091646), (0.000000, -0.095517), (0.010088, -0.205352), (0.024548, -0.249241), (0.023550, -0.158764), (0.007120, -0.035797), (-0.045898, 0.183234), (-0.104499, 0.344489), (-0.145181, 0.405754), (-0.081554, 0.196889), (0.001005, -0.002125), (0.066849, -0.125066), (0.143663, -0.239687), (0.181802, -0.272085), (0.183313, -0.247169), (0.213464, -0.260106), (0.297428, -0.328161), (0.343093, -0.343093), (0.314754, -0.285276), (0.199180, -0.163463), (0.078235, -0.058023), (0.053983, -0.036070), (0.025699, -0.015404), (0.033318, -0.017809), (0.033641, -0.015911), (-0.016190, 0.006706), (-0.045992, 0.016456), (-0.001041, 0.000316), (0.000690, -0.000173), (-0.061311, 0.012196), (-0.114673, 0.017010), (-0.308113, 0.030346), (-0.360663, 0.017718), (-0.271014, 0.000000), (-0.165020, -0.008107), (-0.070901, -0.006983), (0.044480, 0.006598), (0.063647, 0.012660), (0.002741, 0.000687), (-0.049740, -0.015088)
(-0.042759, -0.017712), (-0.002145, -0.001015), (-0.020336, -0.010870), (-0.081717, -0.048979), (-0.150414, -0.100504), (-0.252893, -0.187558), (-0.345056, -0.283180), (-0.302298, -0.273987), (-0.264289, -0.264289), (-0.186376, -0.205634), (-0.157695, -0.192152), (-0.113927, -0.153613), (0.014350, 0.021476), (0.056339, 0.093996), (0.005889, 0.011017), (0.032565, 0.068853), (0.054370, 0.131260), (-0.009004, -0.025166), (-0.048459, -0.159748), (-0.088118, -0.351788), (-0.067668, -0.340189), (-0.029122, -0.196325), (-0.007004, -0.071117), (0.000391, 0.007965), (-0.000000, -0.056061), (0.010242, -0.208474), (0.023188, -0.235431), (0.036539, -0.246328), (0.048579, -0.244224), (0.036625, -0.146216), (-0.023790, 0.078426), (-0.122342, 0.341924), (-0.190387, 0.459635), (-0.215583, 0.455812), (-0.184190, 0.344595), (-0.106209, 0.177200), (0.026722, -0.039992), (0.083172, -0.112144), (0.181265, -0.220873), (0.270706, -0.298678), (0.297061, -0.297061), (0.365211, -0.331008), (0.366991, -0.301181), (0.241313, -0.178970), (0.078179, -0.052237), (-0.047852, 0.028681), (-0.095431, 0.051009), (-0.056837, 0.026882), (-0.151096, 0.062586), (-0.161076, 0.057634), (-0.159047, 0.048246), (-0.046453, 0.011636), (0.054287, -0.010798), (0.043085, -0.006391), (0.011520, -0.001135), (-0.105071, 0.005162), (-0.206466, -0.000000), (-0.167510, -0.008229), (-0.219852, -0.021654), (-0.158216, -0.023469), (0.011212, 0.002230), (0.076381, 0.019132), (-0.000683, -0.000207), (-0.021091, -0.007546)
(0.013518, 0.006394), (0.081054, 0.043324), (0.022067, 0.013227), (-0.206675, -0.138096), (-0.234377, -0.173826), (-0.213492, -0.175208), (-0.231686, -0.209988), (-0.332417, -0.332417), (-0.280654, -0.309654), (-0.113908, -0.138798), (0.020348, 0.027436), (0.158124, 0.236649), (0.197742, 0.329912), (0.206659, 0.386631), (0.196020, 0.414449), (0.167592, 0.404602), (0.102754, 0.287179), (0.031550, 0.104007), (-0.047581, -0.189953), (-0.045297, -0.227724), (-0.040070, -0.270132), (-0.025645, -0.260377), (-0.007063, -0.143764), (0.000000, -0.078227), (0.006662, -0.135599), (0.009141, -0.092815), (0.007721, -0.052052), (0.014254, -0.071659), (0.019416, -0.077513), (-0.000450, 0.001482), (-0.062433, 0.174490), (-0.116550, 0.281377), (-0.153502, 0.324552), (-0.203432, 0.380594), (-0.214143, 0.357276), (-0.155596, 0.232866), (-0.068733, 0.092676), (0.098138, -0.119581), (0.221156, -0.244008), (0.259274, -0.259274), (0.221764, -0.200995), (0.215510, -0.176865), (0.102609, -0.076100), (-0.046483, 0.031059), (-0.118093, 0.070782), (-0.119634, 0.063946), (-0.122801, 0.058081), (-0.135394, 0.056082), (-0.168753, 0.060381), (-0.192418, 0.058369), (-0.111583, 0.027950), (-0.071336, 0.014190), (-0.009453, 0.001402), (-0.027753, 0.002733), (-0.150682, 0.007402), (-0.079070, -0.000000), (-0.009454, -0.000464), (-0.159621, -0.015721), (-0.208045, -0.030861), (-0.130838, -0.026025), (0.037649, 0.009431), (0.063609, 0.019296), (0.069926, 0.025020), (0.052098, 0.021580)
